CODGEO;LIBGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;NOTE_RP;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003006;Bien-Assis;621;4 343;43 680;Domérat, Montluçon;54,2;;;;;;52,5;;13,7;;0;251;593;68;126;12;45;24;16;;281;46;50;77;43;37;28;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP004001;Centre Ville - Pigeonnier;2 350;2 350;16 333;Digne-les-Bains;51,2;31,1;27,4;22,4;27,3;1,0;58,7;;18,2;14,6;0;964;1 500;141;689;53;81;32;99;74;409;48;47;113;94;63;44;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP004002;Centre Ville - Saint-Lazare;2 825;4 719;22 485;Manosque;49,7;29,3;29,1;25,9;29,1;0,9;54,9;;12;11,2;0;1 117;1 952;183;728;61;145;50;147;19;631;104;103;165;117;92;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP004003;Arc Serrets - Plantiers - Aliziers;1 894;4 719;22 485;Manosque;49,6;36,1;39,7;;;;35,5;7,5;24,6;24,4;0;464;1 130;87;217;33;127;56;24;;505;84;72;136;102;65;46;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP005001;Haut - Gap;1 316;1 316;40 559;Gap;50,6;39,5;35,5;;;;41,1;;28,4;25,2;0;285;623;54;142;15;74;30;26;;248;32;48;55;49;37;27;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006001;Las Planas;1 081;39 079;341 032;Nice;55,5;;;25,7;31,1;1,1;44,5;;10,7;;0;481;987;122;259;21;79;41;14;;398;49;55;94;87;65;48;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006002;Coeur De Ville - Hauts De Vallauris;3 501;3 501;27 072;Vallauris;49,0;30,6;30,9;24,0;23,1;1,1;36,1;3,0;28,6;26,2;0;1 048;2 129;184;563;86;215;79;70;7;785;114;109;212;162;117;71;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006003;Ranguin-Frayère;4 743;6 797;115 436;Cannes, Le Cannet;53,2;37,1;34,0;20,5;22,4;1,5;32,2;4,1;17,7;15,6;0;1 449;3 262;323;719;80;327;136;67;5;1 405;160;182;360;312;234;157;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006004;Genêts - Oliviers - Saint-Pierre;2 054;6 797;115 436;Cannes, Le Cannet;54,9;34,8;30,0;25,7;29,9;1,1;28,3;4,6;14;14,6;0;497;1 128;110;239;31;117;52;13;;478;55;55;118;102;82;66;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006005;Grand Centre;6 806;8 132;48 865;Grasse;51,0;35,6;34,2;15,9;15,2;1,9;40,3;;25,9;24,9;0;2 093;4 380;460;1 053;161;419;143;165;40;1 715;266;262;424;367;240;156;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
