CODGEO;LIBGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP080009;Les Argillières;1 071;6 692;23 821;Abbeville;51,0;35,4;36,8;;;;21,9;;0,1;;279;664;48;118;31;82;31;18;;272;25;28;66;60;48;45;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP081001;La Falgalarié;1 283;1 283;6 148;Aussillon;53,3;35,1;34,1;22,7;23,9;1,3;34,5;3,1;26,9;26,8;350;772;53;169;42;86;34;12;;291;52;48;78;55;35;23;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP081002;Laden Petit Train;1 254;6 317;41 636;Castres;51,0;45,4;42,6;;;;42,0;;18,5;;424;933;94;210;46;74;27;22;;387;73;62;93;73;45;41;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP081003;Lameilhé;1 298;6 317;41 636;Castres;58,8;41,2;38,4;16,6;19,0;2,0;46,0;;16;13,5;483;1 026;117;243;30;93;34;29;;418;66;73;108;65;65;41;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP081004;Aillot Bisséous Lardaillé;2 116;6 317;41 636;Castres;53,4;34,2;32,5;22,5;27,9;1,2;52,3;;11,2;8,8;696;1 493;164;354;38;140;45;41;6;614;119;104;137;117;71;66;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP081005;Centre Ville;1 649;6 317;41 636;Castres;55,0;37,8;35,9;15,6;18,7;1,4;62,4;;6;;787;1 186;116;580;26;65;15;121;150;316;54;58;76;60;42;26;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP081006;Cantepau;2 106;5 132;49 342;Albi;54,9;39,3;32,7;17,6;21,7;1,7;49,6;;28,3;25,7;876;1 935;202;451;60;163;76;49;5;835;165;167;213;130;89;71;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP081007;Veyrières Rayssac;1 782;5 132;49 342;Albi;58,3;35,8;31,0;21,4;23,2;1,4;42,2;;10,5;8,9;601;1 282;144;301;36;120;33;26;30;530;74;108;139;102;56;51;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP081008;Lapanouse;1 244;5 132;49 342;Albi;57,3;36,9;;22,4;;1,4;45,2;;13,2;;468;1 011;128;225;36;79;20;29;7;428;71;65;111;80;48;53;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP081009;Rajol - Cérou - Gourgatieux - Bouloc - Verrerie;1 877;1 877;9 688;Carmaux;55,4;27,9;24,0;36,5;43,3;0,6;56,3;;11,7;10;575;1 008;86;377;36;76;28;42;14;319;51;60;70;60;49;29;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP081010;Lentajou - Catalanis;1 173;1 173;14 334;Gaillac;56,2;32,1;28,7;25,1;29,5;1,0;48,9;;14;13,1;345;768;53;169;29;94;38;21;;304;49;59;72;51;39;34;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP081011;Crins - En Gach;2 701;2 701;11 807;Graulhet;53,3;30,5;27,2;34,4;39,0;0,7;40,3;3,5;15,3;14,3;924;1 966;173;465;77;209;74;64;17;762;130;139;184;137;102;70;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP082001;Coeur de Ville;3 551;7 353;57 921;Montauban;50,3;33,7;33,6;18,1;22,4;1,1;61,4;;17,8;14,4;1 588;2 607;226;1 071;116;175;41;232;149;744;132;123;171;136;111;71;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP082002;Médiathèque - Chambord;3 802;7 353;57 921;Montauban;57,8;31,4;27,1;26,5;30,7;1,0;43,1;;18,1;17,6;1 225;2 690;284;590;82;269;115;59;6;1 112;164;179;284;210;156;119;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP082003;Centre Ville;2 470;3 672;12 564;Moissac;53,7;31,9;28,4;24,6;28,3;1,0;48,9;;20,1;16,3;611;1 284;109;332;38;132;54;48;11;508;96;95;145;92;55;25;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP082004;Sarlac;1 202;3 672;12 564;Moissac;55,7;34,3;31,9;26,8;29,4;1,1;30,6;;26,2;24,4;221;568;49;77;23;72;29;10;;252;39;37;74;47;39;16;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083001;L'Agachon;947;3 733;53 039;Fréjus;51,3;34,5;;;;;32,2;;;;244;532;49;119;23;53;23;12;;208;26;35;47;53;25;22;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083002;Centre Ville;4 408;6 932;39 174;Draguignan;51,3;36,2;37,0;14,7;17,9;1,7;58,3;;10,4;8,7;1 609;2 710;276;1 051;86;196;46;173;78;828;169;133;219;138;105;64;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083003;Les Collettes;2 524;6 932;39 174;Draguignan;55,2;42,0;39,9;11,6;12,7;3,3;19,8;3,6;6,1;6,5;677;1 892;180;208;41;248;98;19;;921;136;145;276;156;126;82;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083004;Centre Ville;1 541;1 541;9 328;Le Muy;50,7;36,6;36,5;16,4;17,1;1,8;33,5;3,4;19,4;17,5;437;1 011;73;196;33;135;48;29;;406;78;69;109;81;43;26;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083005;Romain Rolland;1 467;1 467;25 298;La Garde;51,1;40,1;34,4;18,2;18,8;1,7;34,9;;13,5;14,4;431;940;81;227;32;91;38;25;14;377;56;60;93;65;48;55;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083006;Centre Ville;2 034;4 395;55 713;Hyères;52,0;31,9;31,1;20,2;23,4;1,1;54,9;;21,4;19,2;804;1 298;138;530;55;81;20;88;23;363;63;55;89;65;55;36;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083007;Val Des Rougières;2 361;4 395;55 713;Hyères;53,5;34,8;30,5;22,4;22,6;1,3;33,4;;16,1;15,1;376;878;71;159;32;114;40;16;;358;73;66;87;63;37;32;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083008;Berthe;9 334;12 414;64 523;La Seyne-sur-Mer;50,6;44,6;41,4;14,5;14,1;2,5;25,6;9,3;14,5;14,2;2 803;7 161;517;1 127;271;888;387;127;;3 189;465;503;852;608;418;343;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083009;Centre Ville;3 080;12 414;64 523;La Seyne-sur-Mer;49,9;31,6;30,6;22,5;25,0;0,9;54,8;;7,1;6,2;1 494;2 666;299;894;97;204;46;125;21;863;166;137;210;153;109;88;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083010;La Beaucaire;4 016;23 869;163 760;Toulon;57,2;42,1;38,2;17,2;18,1;2,0;33,0;3,9;9,4;8,7;1 359;3 099;358;593;117;291;124;64;;1 325;194;221;356;230;166;158;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083011;La Florane;2 109;23 869;163 760;Toulon;55,8;47,2;46,6;14,6;15,2;2,8;25,8;14,1;8,9;10,8;673;1 618;168;274;59;172;70;21;;715;83;106;180;151;114;81;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083012;Pontcarral;1 301;23 869;163 760;Toulon;48,8;51,1;45,7;10,9;9,3;3,8;12,6;16,1;31,9;26,6;292;829;62;91;30;109;43;13;;393;62;61;101;70;46;53;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083013;Pont Du Las- Rodeilhac;3 015;23 869;163 760;Toulon;53,7;26,5;23,6;27,4;30,9;0,7;60,4;;7,1;6,6;1 147;1 994;182;728;69;168;36;72;10;605;131;110;136;105;71;52;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083014;Beaulieu- Sainte Marie;1 135;23 869;163 760;Toulon;50,3;37,7;;18,5;;1,8;32,6;;;;213;684;36;52;11;114;50;12;;351;57;63;101;71;40;19;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083015;Sainte Musse;1 850;23 869;163 760;Toulon;49,1;40,7;39,8;;;;28,4;;30,6;34,3;650;1 647;108;270;61;211;92;33;;717;122;109;168;136;84;98;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083016;Centre Ville;8 632;23 869;163 760;Toulon;46,7;32,8;34,6;19,9;20,9;1,1;59,2;1,5;22,2;18,6;3 959;6 062;451;2 879;266;363;109;300;360;1 475;317;209;333;251;200;165;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083017;Le Jonquet- La Baume- Le Guynemer;1 811;23 869;163 760;Toulon;52,8;42,4;41,4;15,6;;2,2;19,7;10,6;13,6;14,1;588;1 265;110;299;58;121;40;32;;497;60;79;124;97;69;68;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083018;La Gabelle;2 786;3 733;53 039;Fréjus;51,4;36,7;38,2;23,6;23,9;1,3;27,1;10,8;42,3;38,8;589;1 827;63;171;69;286;149;23;;878;139;132;227;184;115;81;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083019;Centre Ville - Le Vergeiras;1 823;1 823;10 183;Le Luc;50,2;34,9;34,4;22,6;22,2;1,2;40,8;2,6;19;13,8;419;880;96;208;24;91;21;35;;351;64;54;92;73;36;32;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083020;Centre Ville;2 002;3 649;16 450;Brignoles;48,0;38,6;37,3;13,9;18,8;1,9;50,4;;7,1;9;891;1 740;174;497;62;158;41;105;;635;125;110;155;112;91;42;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP083021;Le Carami;1 647;3 649;16 450;Brignoles;57,0;38,8;38,6;16,9;;1,9;32,6;;13,9;;258;548;47;127;24;60;23;11;;206;18;24;46;40;37;41;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP084001;Quartiers Griffons Et Centre Ville;1 590;4 272;18 500;Sorgues;50,1;32,8;30,6;25,4;27,3;0,9;43,8;3,3;25,5;23,6;437;932;83;226;27;101;38;28;;364;59;47;94;73;60;31;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP084002;Monclar Champfleury Rocade Sud Barbière Croix Des Oiseaux;17 186;24 611;90 305;Avignon;52,7;41,5;40,0;17,0;17,6;2,1;31,9;6,5;23,4;21,9;5 335;13 331;1 083;2 213;440;1 599;734;249;17;5 935;1 021;1 079;1 556;1 047;683;549;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP084003;Quartiers Nord Est;4 612;24 611;90 305;Avignon;56,4;37,9;33,4;20,2;22,5;1,6;38,5;;17,1;16;1 533;3 882;350;608;114;461;195;63;7;1 770;314;276;475;311;227;167;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP084004;Quartier De Saint Chamand;2 813;24 611;90 305;Avignon;53,1;48,0;44,3;;;;20,8;6,1;22,4;22,3;822;2 041;181;349;60;232;105;33;;924;162;153;255;167;99;88;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP084005;Quartiers Camp Rambaud - Les Mérides;741;3 703;17 344;Le Pontet;44,6;24,9;35,6;;;;38,8;;37,4;23,6;226;368;20;165;5;36;7;12;;101;31;18;21;14;11;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP084006;Quartiers Joffre Et Centre Ville;2 962;3 703;17 344;Le Pontet;51,9;40,8;39,5;15,6;18,3;2,1;36,8;5,3;21,3;19,1;798;1 998;148;330;49;271;99;56;;879;193;166;225;140;94;61;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP084007;Quartiers Centre Ancien Et Sud Ouest;1 642;1 642;19 498;Pertuis;51,1;30,8;27,8;27,1;32,5;0,8;51,5;;17,5;14,4;637;1 203;129;361;43;104;22;77;7;417;81;61;106;89;47;33;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP084008;Centre Ville;2 990;7 415;28 422;Carpentras;52,6;33,7;37,2;18,2;20,3;1,3;56,5;;15,3;9,9;1 153;2 035;232;709;62;150;50;145;16;676;127;109;155;134;96;55;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP084009;Amandier - Eléphants;1 871;7 415;28 422;Carpentras;54,5;39,5;36,2;19,0;21,5;1,7;35,2;;28,9;21,4;422;1 079;74;169;43;136;61;19;;480;75;87;135;83;62;38;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP084010;Pous Du Plan;1 142;7 415;28 422;Carpentras;47,8;46,3;43,9;;;;26,2;;42;42,8;230;655;27;78;27;98;43;15;;294;62;61;66;46;33;26;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP084011;Quintine - Villemarie - Ubac - Le Parc;1 412;7 415;28 422;Carpentras;55,4;38,6;35,8;17,7;;1,9;39,3;;15,7;13,3;375;924;74;152;30;119;40;24;;400;81;84;90;72;37;36;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP084012;Fourchevieilles Comtadines L'Aygues;4 362;5 492;29 193;Orange;54,3;39,7;38,6;18,0;18,4;1,8;33,7;4,8;23,4;23,4;1 100;2 695;201;470;94;335;139;67;;1 176;230;227;303;180;121;115;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP084013;Quartiers Nogent Saint Clément;1 130;5 492;29 193;Orange;52,7;;;25,1;24,5;1,0;34,4;;32;30,5;308;702;67;147;24;70;24;16;;299;53;45;78;59;34;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
