CODGEO;LIBGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003004;Rive Gauche;2 841;5 271;37 839;Montluçon;53,4;33,0;27,6;28,2;33,3;0,9;56,8;;14,7;14,3;945;1 866;149;544;80;172;57;132;38;675;110;118;162;130;85;70;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003005;Fontbouillant;1 234;5 371;40 247;Montluçon, Prémilhat;44,6;42,6;35,3;18,8;21,4;1,6;63,2;1,4;11,3;12,6;508;813;62;367;28;51;19;50;93;231;34;31;53;46;38;29;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003006;Bien-Assis;1 323;5 298;46 872;Domérat, Montluçon;57,1;46,9;43,5;15,0;;2,5;35,6;;13,8;9,5;314;724;97;140;19;58;23;17;;330;56;55;93;54;42;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP004001;Centre Ville - Pigeonnier;2 100;2 100;16 512;Digne-les-Bains;50,2;30,0;27,1;24,5;29,2;0,9;60,2;;14,1;13,2;875;1 457;136;583;56;100;31;75;80;435;65;79;99;83;60;49;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP004002;Centre Ville - Saint-Lazare;3 427;5 489;22 412;Manosque;50,1;31,3;30,6;26,2;28,1;1,0;51,7;;10,7;11,3;1 044;1 937;176;620;75;173;58;137;21;648;121;101;155;123;95;53;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP004003;Arc Serrets - Plantiers - Aliziers;2 062;5 489;22 412;Manosque;48,6;38,0;39,7;24,0;24,5;1,4;37,7;9,2;21,7;21,2;480;1 228;94;209;33;144;67;21;;572;82;100;158;111;79;42;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP005001;Haut - Gap;1 441;1 441;40 255;Gap;51,0;39,8;35,8;;;;43,1;;28,9;26,9;321;787;73;137;17;94;45;13;;353;55;44;93;75;47;39;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006001;Las Planas;1 328;38 218;342 295;Nice;55,9;;;26,1;31,0;1,1;42,8;;;;441;902;117;237;24;63;32;10;;365;44;41;103;87;51;39;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006002;Coeur De Ville - Hauts De Vallauris;3 347;3 347;26 465;Vallauris;51,9;32,4;33,1;20,8;19,6;1,3;32,4;3,4;30,3;27,3;952;2 059;157;463;91;241;70;55;9;774;98;112;210;159;106;89;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006003;Ranguin-Frayère;4 029;6 038;116 512;Cannes, Le Cannet;55,3;32,1;31,2;26,4;28,8;1,0;42,1;2,3;11,8;11,9;1 355;3 167;332;602;81;340;131;48;;1 391;155;174;390;313;206;153;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
