CODGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF
QP093027;1827;9590;25657;Romainville;58,6;33;31,3;22;24,2;1,3;37,1;;12,7;13,8;542;1462;115;204;37;186;99;14;;690;63;89;179;150;99;110;0
QP093028;114891;182566;227473;Aubervilliers, La Courneuve, Saint-Denis;47,8;36,7;37;13,3;13,8;2,2;30,6;6;37,1;34,1;30360;76783;5442;12684;2072;10162;3963;1304;668;34052;5729;5477;8844;6255;4280;3467;0
QP093029;7306;29350;54857;Épinay-sur-Seine;51,8;40,5;38,3;13,2;13,9;2,5;22,8;8,1;28,3;28,7;1526;4345;333;518;74;601;269;61;8;2132;315;330;541;443;277;226;0
QP093030;10654;29350;54857;Épinay-sur-Seine;52,4;40,4;38,1;13,1;13,3;2,4;29,8;6;25,5;24,3;2965;7571;692;1195;168;910;427;213;23;3512;601;549;866;663;442;391;0
QP093031;11390;29350;54857;Épinay-sur-Seine;52,2;40,1;38,4;15,3;15,5;2,2;24,2;8,6;27,4;27;2490;7326;552;759;155;1024;481;74;40;3636;533;543;989;684;475;412;0
QP093032;1450;5570;6982;L'Île-Saint-Denis;54,7;37,6;36,6;17,6;19,6;1,8;35,5;5,6;21,9;21,8;384;962;87;170;25;102;53;15;;446;60;59;93;108;70;56;0
QP093033;2636;5570;6982;L'Île-Saint-Denis;50,9;37,8;36;13;13,1;2,4;29,9;5,3;24,3;23,6;697;1850;156;265;36;240;100;27;8;875;129;129;220;173;127;97;0
QP093034;1484;5570;6982;L'Île-Saint-Denis;53,1;39;33,6;17,4;18,7;1,8;30,3;5;25,3;25,2;420;1057;111;167;26;116;58;8;;491;59;70;122;117;75;48;0
QP093035;9998;36012;64824;Pierrefitte-sur-Seine, Stains;52,4;43,4;42;12,8;13,7;2,9;22,5;9,4;30,4;29;2848;8058;657;899;174;1118;462;112;22;3917;709;634;1024;712;466;372;0
QP093036;2093;15000;28459;Pierrefitte-sur-Seine;46,7;40,5;45,1;16,9;;2;23,3;9,9;44;35,6;581;1397;94;275;42;170;78;18;;608;104;90;146;121;76;71;0
QP093037;4498;78839;109343;Saint-Denis;46,4;39,1;39,5;;;4,6;31,1;;37,5;34,3;1202;2997;215;506;55;426;131;63;27;1309;257;230;355;221;134;112;0
QP093038;2196;78839;109343;Saint-Denis;48,8;;;;;;34;;;;445;1125;78;189;19;159;52;21;37;502;87;83;150;88;54;40;0
QP093039;40243;78839;109343;Saint-Denis;50,1;35,3;34,6;14,3;16,1;1,9;39,2;4,1;30,8;27,5;9904;23877;2013;4312;649;2930;1026;447;440;10358;1870;1631;2688;1916;1227;1026;0
QP093040;7367;99851;145708;Saint-Denis, Stains;50,2;43;41,9;13,6;12,9;2,7;22,2;11,7;25,2;22,3;1906;5153;431;766;97;612;329;63;5;2528;364;373;656;495;344;296;0
QP093041;2207;78839;109343;Saint-Denis;41;29,2;32,9;;;2,2;35,1;;50,6;40,9;627;1375;92;323;35;177;54;50;80;534;113;96;151;86;54;34;0
QP093042;7024;78839;109343;Saint-Denis;50,3;37;37;16,2;17,9;1,9;36,3;5,1;37,5;32,5;2046;4931;381;943;121;601;249;79;58;2147;356;326;554;416;277;218;0
QP093043;9607;93839;137802;Pierrefitte-sur-Seine, Saint-Denis;48,7;38;37,9;15,5;15,5;1,9;33,3;6,9;30,5;27,4;2537;6339;459;1120;151;807;359;105;162;2826;436;452;743;544;338;313;0
QP093044;2021;17075;47534;Saint-Ouen;53,3;32,2;32,6;17,3;;1,4;48,3;;29,8;24,5;653;1392;143;309;46;155;34;19;9;533;112;100;132;88;53;48;0
QP093045;8351;17075;47534;Saint-Ouen;49,9;29,9;28,4;16,3;17,8;1,4;43,7;1,8;30,7;27;2050;4717;390;951;136;573;198;85;53;1946;339;335;518;362;220;172;0
QP093046;3065;17075;47534;Saint-Ouen;53,5;35,6;33,2;18,4;19,8;1,6;40,8;2,8;22,7;24,4;848;2015;201;371;45;231;82;21;7;889;121;129;227;168;132;112;0
QP093047;3638;17075;47534;Saint-Ouen;49,8;35,8;35,1;13,8;15,8;2,1;40;2;27,7;26,7;824;2042;169;340;50;265;88;37;21;899;137;127;233;174;125;103;0
QP093048;18454;21012;36365;Stains;49,9;41,1;39,5;12,2;13,4;2,8;26,8;9,5;25,5;25,7;5123;13060;1285;2072;328;1438;671;230;78;6153;937;935;1535;1180;825;741;0
QP093049;9250;9250;12451;Villetaneuse;51,3;41,6;39,3;13,8;13,7;2,5;26,5;8,6;25,5;23,7;2407;6627;570;823;142;872;373;88;72;3197;537;478;817;581;417;367;0
