"CODGEO";"POP_MUN";"POP_COM_QP";"POP_COM";"TX_F";"TX_TOT_0A24";"TX_F_0A24";"TX_TOT_60ETPLUS";"TX_F_60ETPLUS";"IND_JEUNE";"TX_TOT_MEN1";"TX_TOT_MEN6";"TX_TOT_ET";"TX_F_ET";"NOTE_RP";"A";"PERCOU";"AM";"AI";"ACSSENF";"ACAVENF";"AC3ENF";"A_NETUD_24";"A_ETUD";"ENF";"ENF_2";"ENF_3_5";"ENF_6_10";"ENF_11_14";"ENF_15_17";"ENF_18_24";"NOTE_CNAF"
"QP013043";2153;28107;91674;53,8;44;40,3;19,7;20,5;1,9;20,9;8,1;12;13,9;0;589;1438;158;249;37;145;69;26;21;661;88;102;154;136;94;87;0
"QP013044";9333;28107;91674;53,6;43,1;40,1;17;17,5;2,1;33;8,1;14,4;14,5;0;3258;7768;792;1503;252;711;327;141;7;3515;404;471;859;701;528;552;0
"QP013045";1589;30238;152999;49,8;52,6;41,7;18;24,8;2,3;20,7;12,3;2,4;2,4;0;340;795;96;150;24;70;28;14;;358;41;54;97;76;39;51;0
"QP013046";1289;28107;91674;55;41,8;34,3;22;25,9;1,5;31,7;6,2;12,9;13,9;0;487;1070;108;245;37;97;46;30;;449;60;59;113;90;72;55;0
"QP013047";843;28107;91674;56;25,7;;;;0,9;49;0;;;0;369;722;78;196;30;65;16;14;;259;52;39;69;38;36;25;0
"QP013048";2669;34695;61965;50,7;42,7;39,3;18,3;19;2;29,8;12,6;15;16,3;0;786;2190;164;324;39;259;141;46;;1095;142;152;279;220;157;145;0
"QP013049";23286;62802;153639;52,7;44,6;41,8;15,4;16,3;2,4;31,4;9,3;21,9;21,6;0;7619;19276;1991;3325;488;1815;838;413;23;9295;1374;1397;2257;1709;1243;1315;0
"QP013050";3409;83514;138575;55,4;41;37,6;19,9;21,7;1,8;31,3;7,6;11,6;12;0;1070;2595;283;480;71;236;114;51;;1208;143;170;309;250;160;176;0
"QP013051";9109;53888;92715;52,1;44;40,3;17;18,3;2,2;20,8;10,3;12,6;13,8;0;2599;6697;643;1067;210;679;329;135;8;3172;388;428;820;590;487;459;0
"QP013052";4531;53888;92715;55,1;42,1;39,8;18;19,9;2;30,6;6,3;15,2;15,1;0;1467;3566;380;647;88;352;156;84;;1652;244;284;402;311;211;200;0
"QP013053";5444;48819;76610;53,4;35;33,3;21;22,7;1,3;36,5;2,8;18,9;16,4;0;1694;3737;359;846;121;368;137;95;5;1551;258;262;422;280;169;160;0
"QP013054";1886;48819;76610;54,4;49,5;44,3;;12,5;3,5;16,9;11,3;11,9;11,9;0;566;1361;157;252;44;113;48;30;;635;82;77;145;126;97;108;0
"QP013055";7648;48819;76610;53,1;50,2;46,2;13;13,6;3,3;19,5;13,8;16,1;15,8;0;1909;5469;531;705;134;539;285;101;5;2872;369;393;692;588;412;418;0
"QP013056";944;48819;76610;51,7;41,2;36,1;16,9;17,5;2;19,7;14,9;10,5;11,2;0;;;;;;;;;;;;;;;;;5
"QP013057";2342;48819;76610;50,1;46,3;43,1;14,8;;2,6;28,6;13,3;29,1;28,1;0;654;1926;165;223;48;218;117;36;5;1003;128;147;250;224;122;132;0
"QP013058";12476;68308;101484;47;34,2;33,7;21,4;20,5;1,3;41;3,2;18,5;16,7;0;4997;10709;993;2636;331;1037;377;354;15;4329;814;696;1061;766;524;468;0
"QP013059";1876;83514;138575;54,7;36,5;36,6;22,9;23,5;1,2;19,8;9;14;14;0;539;1339;93;249;28;169;69;25;;607;78;86;146;114;96;87;0
"QP013060";1562;5069;16105;51,9;36,3;31,5;19,8;21,7;1,5;40,1;;;;0;561;1304;143;253;37;128;48;45;;574;102;80;152;106;70;64;0
"QP013061";2894;2894;43411;53,4;36,8;34,4;20,4;19,7;1,5;34,2;;12,5;10,9;0;1048;2348;274;490;55;229;88;64;;1013;160;166;280;189;134;84;0
"QP013062";1734;7185;26668;56,8;45,3;45,4;;;3,4;22,8;5,8;19,1;19,3;0;433;1108;89;151;31;162;41;19;;486;72;74;131;100;63;46;0
