CODGEO;LIBGEO;NBMEN15;NBPERS15;NBUC15;Q115;Q215;Q315;Q3_Q1;D115;D215;D315;D415;D615;D715;D815;D915;RD;S80S2015;GI15;PACT15;PCHO15;PTSA15;PBEN15;PPEN15;PPAT15;PPSOC15;PPFAM15;PPMINI15;PPLOGT15;PIMPOT15
200011799;CC de la Vallée de la Barousse;1247,0;2489,5;1804,4;14437,8;19120,0;24531,3;10093,6;10207,7;13283,3;15380,7;17360,4;21019,0;23236,7;25892,4;31198,7;3,1;3,7;0,3;52,9;2,7;42,9;7,3;45,5;9,9;5,2;1,6;2,3;1,3;-13,5
200011997;CC Authie-Maye;7455,0;17037,0;11723,0;13783,3;18358,0;23999,5;10216,2;10243,1;12710,0;14656,1;16538,0;20250,0;22648,0;25908,0;32631,0;3,2;3,9;0,3;59,7;3,1;46,4;10,2;37,2;12,3;5,6;2,2;2,1;1,3;-14,8
200012003;CC des 2 Sources;5205,0;13187,5;8706,3;14327,1;18815,0;23925,0;9597,9;10947,0;13390,0;15203,0;17016,2;20715,3;22631,0;25501,0;30536,0;2,8;3,4;0,2;69,7;2,8;58,7;8,2;27,4;11,4;5,7;3,0;1,5;1,1;-14,2
200012037;CC de l'Isle Crémieu;11365,0;30433,0;19704,3;17869,0;22958,3;29179,6;11310,6;13762,0;16728,0;18965,4;20955,0;25024,7;27529,0;31050,7;37135,7;2,7;3,3;0,2;80,1;3,0;73,0;4,2;22,8;9,6;3,5;2,3;0,6;0,6;-16,0
200012060;CC Petite Montagne;2828,0;6398,5;4412,1;15162,7;19536,5;24747,1;9584,5;11674,3;14278,3;16045,0;17785,3;21144,0;23226,7;26238,6;30726,0;2,6;3,1;0,2;66,4;3,2;56,5;6,8;34,2;8,2;4,6;2,3;1,3;1,0;-13,4
200012136;CC Seuil Charente Périgord;3248,0;6989,0;4939,4;14138,0;18530,4;23537,8;9399,8;10652,7;13152,6;15004,7;16795,0;20283,3;22146,7;25175,5;30629,2;2,9;3,6;0,3;60,2;3,0;50,1;7,1;38,4;9,9;4,7;1,7;1,8;1,2;-13,2
200012227;CC la Porte du Vignoble;4273,0;10764,5;7151,9;18988,3;24026,7;31043,8;12055,5;14493,0;17681,0;19867,3;21959,0;26426,0;29179,4;33133,3;39301,4;2,7;3,4;0,2;78,5;2,3;69,8;6,4;25,7;10,5;2,7;1,7;0,5;0,5;-17,4
200013050;CC Sauer-Pechelbronn;6967,0;17395,5;11632,2;17568,0;22432,7;28312,2;10744,2;13567,1;16392,0;18572,5;20560,4;24293,0;26780,6;30036,1;35163,5;2,6;3,1;0,2;76,6;2,7;69,7;4,3;27,6;8,2;3,0;1,8;0,7;0,5;-15,4
200015162;CC de l'Oriente;2239,0;4909,5;3447,7;11130,0;16620,0;23951,5;12821,5;7806,7;10113,8;12298,5;14351,0;19494,0;22028,0;26252,0;33114,0;4,2;5,4;0,3;60,1;3,3;46,6;10,2;35,4;11,8;7,2;1,7;3,6;1,9;-14,5
200016905;CC du Pays de Lamastre;2975,0;6413,5;4523,0;13258,4;17099,0;22043,3;8784,9;9899,6;12301,0;14031,3;15548,7;18914,3;20900,0;23449,3;27730,7;2,8;3,5;0,2;55,6;3,1;45,0;7,5;38,7;11,1;6,5;2,3;2,5;1,6;-11,9
200017341;CC Lodévois et Larzac;6566,0;14483,0;10057,4;12333,3;17184,5;22830,6;10497,2;8870,0;11324,0;13287,3;15220,0;19177,3;21447,0;24662,4;30196,0;3,4;4,1;0,3;59,2;3,9;48,5;6,9;35,7;9,6;8,8;2,8;3,4;2,6;-13,3
200017408;CC Cap Lauragais Cc du Canton de Villefranche de Lauragais;5639,0;14513,5;9512,7;17237,1;22101,0;28214,0;10976,9;13018,6;16061,0;18332,0;20282,9;24200,0;26745,3;30027,1;35486,2;2,7;3,2;0,2;80,6;2,9;71,9;5,8;21,6;9,7;4,0;2,3;0,9;0,8;-15,9
200017762;CC de la Motte-Du-Caire -Turriers;1206,0;2718,5;1879,6;13814,0;18873,1;25029,3;11215,3;9410,4;12552,7;14816,1;16923,3;20944,8;23583,0;26882,7;32282,1;3,4;4,1;0,3;61,6;3,6;50,2;7,8;36,0;11,8;4,6;2,2;1,2;1,2;-14,0
200017846;CA Etampois Sud Essonne;21115,0;53901,5;35339,6;15718,1;21270,5;27642,9;11924,8;11232,9;14425,7;16920,0;19139,0;23455,4;26090,0;29474,5;35530,0;3,2;3,8;0,3;78,7;3,0;71,5;4,3;24,6;9,0;5,2;2,7;1,4;1,2;-17,5
200018083;CC de Desvres-Samer;8543,0;22394,0;14596,7;14492,0;18981,9;24161,3;9669,3;10940,4;13458,7;15392,0;17234,6;20810,7;22783,5;25695,9;30475,7;2,8;3,3;0,2;73,0;3,2;63,5;6,3;25,6;8,6;6,6;3,2;1,9;1,5;-13,8
200018158;CC des Sources de la Tille;459,0;1063,5;726,2;;19907,8;;;;;;;;;;;;;;;;;;;;;;;;
200018166;CC du Pays du Grésivaudan (Ccpg);40649,0;103918,5;68497,6;19236,0;25202,1;33146,0;13910,0;14562,6;17915,5;20397,3;22729,5;27918,0;31084,2;35531,2;43767,6;3,0;3,7;0,3;79,0;2,7;71,2;5,2;24,6;12,3;2,9;1,7;0,6;0,6;-18,8
200018190;CC du Pays d'Entrevaux;585,0;1164,5;848,9;;18420,0;;;;;;;;;;;;;;;;;;;;;;;;
200018315;CC Apcher-Margeride-Aubrac;2167,0;4493,0;3214,2;15643,8;20096,7;25371,3;9727,5;11883,0;14641,7;16634,0;18551,0;21924,5;23836,3;27169,3;32519,0;2,7;3,5;0,2;64,0;1,9;54,9;7,1;32,4;13,5;4,9;1,7;1,8;1,3;-14,8
200018323;CC du Canton de Beaugency;7139,0;17479,0;11651,5;16477,7;21272,3;27134,7;10657,0;12531,3;15379,0;17462,9;19422,0;23139,4;25514,7;29066,0;34811,4;2,8;3,4;0,2;70,8;2,9;64,3;3,6;30,1;11,0;4,3;2,4;1,0;1,0;-16,2
200018356;CC du Canton de Mercoeur;1170,0;2523,5;1788,1;14394,7;18441,0;23631,0;9236,3;11107,0;13570,5;15179,5;17008,9;20126,9;22167,3;25196,5;29582,4;2,7;3,2;0,2;55,8;1,8;44,8;9,2;41,4;10,7;4,1;1,6;1,7;0,8;-12,0
200018364;CC du Canton de Saint Privat;1625,0;3291,5;2387,6;14352,0;18674,4;23978,7;9626,7;10673,3;13435,0;15472,7;17166,0;20652,0;22616,7;25636,0;30564,7;2,9;3,4;0,2;54,2;2,3;42,0;9,9;44,8;9,8;3,8;1,3;1,6;0,9;-12,6
200018406;CC du Romorantinais et du Monestois;14808,0;32759,0;22787,5;14595,3;19366,7;24746,0;10150,7;10648,0;13476,7;15651,9;17501,0;21197,6;23356,0;26425,0;31823,0;3,0;3,6;0,2;60,8;3,3;53,5;3,9;38,7;9,0;5,9;2,2;2,0;1,6;-14,4
200018497;CC Aure 2008;479,0;888,0;663,5;;19907,8;;;;;;;;;;;;;;;;;;;;;;;;
200018521;CC du Val de Bouzanne;2725,0;5944,5;4153,3;14443,3;19086,0;23977,3;9534,0;10966,0;13488,0;15485,3;17406,9;20786,0;22747,4;25288,0;30387,1;2,8;3,4;0,2;63,6;3,0;53,6;7,0;35,4;9,4;4,8;2,0;1,7;1,1;-13,2
200019008;CC du Pays de Clerval;1216,0;2951,0;1973,6;14600,0;18626,0;22999,0;8399,0;11355,0;13523,0;15465,0;16987,4;20105,6;22088,1;24533,3;29132,4;2,6;3,0;0,2;69,7;3,1;62,1;4,4;29,0;7,1;6,2;3,2;1,8;1,1;-12,0
200022515;CC Haut Berry Val de Loire;3177,0;7013,5;4883,4;15748,7;20566,3;26715,7;10967,0;11701,5;14706,0;16665,7;18544,8;22540,5;24984,7;28438,0;33758,0;2,9;3,5;0,2;66,3;2,6;56,1;7,6;35,9;8,4;4,4;2,0;1,4;1,0;-15,0
200022812;CC Gâtine - Autize;3886,0;9253,5;6244,8;14912,0;19243,3;24152,5;9240,5;11241,7;13970,0;15818,8;17642,1;21048,7;22997,8;25794,0;30946,4;2,8;3,3;0,2;68,8;2,9;59,3;6,5;30,2;9,1;5,2;2,8;1,3;1,1;-13,3
200022846;CC du Barséquanais;5693,0;13075,0;8937,2;15269,2;20087,0;26086,7;10817,4;11303,1;13961,0;16299,6;18311,1;21988,0;24499,5;28368,8;37087,5;3,3;4,2;0,3;68,4;3,0;50,8;14,6;28,4;15,7;4,9;2,1;1,5;1,2;-17,4
200022986;CC du Grand Pic Saint-Loup;18452,0;47978,0;31645,0;18550,7;24862,3;33364,0;14813,3;13566,0;17074,6;19949,7;22319,3;27688,0;31098,7;36064,3;44671,0;3,3;4,1;0,3;75,9;2,8;64,4;8,7;28,6;12,5;2,9;1,5;0,7;0,6;-19,9
200022994;CC de Château-Renard;4631,0;10490,5;7220,2;15303,9;20302,5;25870,7;10566,8;11254,0;14125,0;16359,2;18313,3;22284,0;24484,0;27348,0;33126,7;2,9;3,6;0,2;65,8;3,3;56,2;6,3;34,9;10,3;4,4;2,2;1,1;1,0;-15,4
200023026;CC du Pays de Bitche;9982,0;23595,5;16122,7;15628,0;20444,0;26048,4;10420,4;11569,4;14449,4;16646,8;18614,0;22326,0;24677,2;27760,0;32828,1;2,8;3,4;0,2;72,7;3,6;65,3;3,8;29,2;7,5;4,2;1,9;1,3;0,9;-13,6
200023075;CC du Pays de Maîche;5791,0;13612,5;9190,0;19245,2;26640,7;36665,2;17420,0;14378,9;17722,9;20722,7;23584,7;30304,8;34481,9;39326,1;46689,6;3,2;3,8;0,3;90,7;3,6;83,5;3,5;19,1;6,0;2,4;1,2;0,6;0,5;-18,2
200023125;CC les Portes Briardes entre Villes et Forêts;17126,0;45912,5;29836,8;18247,6;24772,0;32844,3;14596,7;13119,5;16723,3;19745,3;22354,7;27554,0;30743,0;35056,0;42622,7;3,2;4,0;0,3;82,9;2,9;75,8;4,3;24,7;9,2;3,3;1,8;0,8;0,7;-20,1
200023216;CC Aubrac-Laguiole;1400,0;3045,5;2140,8;14097,2;18765,6;24422,6;10325,4;9907,0;12864,7;14992,0;16836,0;20686,2;22795,0;26333,3;31932,0;3,2;4,1;0,3;57,6;1,6;40,4;15,5;32,2;21,6;3,8;1,8;1,2;0,8;-15,2
