IRIS;LIBIRIS;COM;LIBCOM;DISP_TP6017;DISP_Q117;DISP_MED17;DISP_Q317;DISP_EQ17;DISP_D117;DISP_D217;DISP_D317;DISP_D417;DISP_D617;DISP_D717;DISP_D817;DISP_D917;DISP_RD17;DISP_S80S2017;DISP_GI17;DISP_PACT17;DISP_PTSA17;DISP_PCHO17;DISP_PBEN17;DISP_PPEN17;DISP_PPAT17;DISP_PPSOC17;DISP_PPFAM17;DISP_PPMINI17;DISP_PPLOGT17;DISP_PIMPOT17;DISP_NOTE17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080101;Saint-Éxupéry-Moulin Roux;02408;Laon;49,4;9610;12740;17500;0,62;7840;9120;10210;11530;14120;15990;18870;23140;3,0;3,4;0,25;45,8;39,0;6,0;0,8;33,4;4,3;25,3;5,1;12,2;8,0;-8,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080102;Centre Social;02408;Laon;66,8;9400;11250;13940;0,40;7500;8780;9760;10480;12310;13270;14610;17550;2,3;2,6;0,19;41,6;;;;21,0;1,7;41,3;11,8;17,3;12,2;-5,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080103;La Fontaine;02408;Laon;43,1;9790;13560;20430;0,78;7990;9100;10590;12230;15300;18720;22170;28810;3,6;4,2;0,29;50,4;;;;36,4;5,4;19,2;5,5;7,9;5,8;-11,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080201;Cité du Nord;02408;Laon;26,5;12440;17050;22130;0,57;9750;11820;13140;14930;18840;21040;23810;28760;2,9;3,3;0,24;59,1;53,7;3,2;2,2;36,7;5,0;11,6;4,1;4,6;2,9;-12,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080301;Gare Saint-Marcel;02408;Laon;21,4;13600;19350;26290;0,66;9070;12150;14720;17300;21640;24470;28670;36000;4,0;4,8;0,30;61,7;53,4;2,5;5,8;35,8;10,3;8,6;2,0;3,8;2,8;-16,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080401;Individuels;02408;Laon;;14850;20760;29080;0,69;11230;13520;15700;18200;23160;26970;31630;41150;3,7;4,2;0,29;62,0;54,1;3,1;4,8;39,3;10,3;5,7;1,9;2,4;1,4;-17,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080402;Prevert Maraichers;02408;Laon;28,5;12280;15660;19990;0,49;9650;11260;12830;14170;17170;18990;20900;24850;2,6;3,0;0,22;62,4;56,0;5,5;0,9;30,3;2,7;15,8;3,1;7,3;5,4;-11,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080501;Plateau;02408;Laon;27,7;12170;18250;27550;0,84;8800;11250;13150;15700;21480;24920;30370;40020;4,5;6,1;0,36;76,0;62,4;3,7;9,9;23,3;9,6;9,8;2,2;4,3;3,3;-18,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080601;Vaux;02408;Laon;21,6;13180;18320;23790;0,58;9860;12340;14130;16100;20340;22470;26180;31610;3,2;3,7;0,26;65,7;57,9;3,9;3,9;32,8;6,5;9,3;3,0;3,7;2,6;-14,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080801;Montreuil-La Neuville-Marquette;02408;Laon;31,4;11620;16260;21660;0,62;8730;10610;12390;14140;18280;20510;23330;28950;3,3;3,9;0,27;55,6;49,1;3,5;3,0;36,1;5,7;15,0;3,9;6,7;4,4;-12,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080901;Ardon-Leuilly-Semilly;02408;Laon;;16740;21570;28270;0,53;12240;15570;17680;19600;23740;26270;30940;38740;3,2;3,9;0,27;68,6;61,7;2,4;4,5;34,2;10,4;4,7;1,7;1,8;1,2;-17,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
026910101;centre ville 1;02691;Saint-Quentin;19,6;13820;20750;31730;0,86;9960;12700;15020;17770;24180;29020;34690;48690;4,9;6,6;0,38;75,6;55,6;3,0;17,0;26,1;12,4;7,1;1,9;3,1;2,1;-21,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
