IRIS;LIBIRIS;COM;LIBCOM;DISP_TP6016;DISP_Q116;DISP_MED16;DISP_Q316;DISP_EQ16;DISP_D116;DISP_D216;DISP_D316;DISP_D416;DISP_D616;DISP_D716;DISP_D816;DISP_D916;DISP_RD16;DISP_S80S2016;DISP_GI16;DISP_PACT16;DISP_PTSA16;DISP_PCHO16;DISP_PBEN16;DISP_PPEN16;DISP_PPAT16;DISP_PPSOC16;DISP_PPFAM16;DISP_PPMINI16;DISP_PPLOGT16;DISP_PIMPOT16;DISP_NOTE16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
021680401;Mare Aubry;02168;Château-Thierry;17,8;13996;18919;25480;0,61;10560;13110;14784;16737;21109;23872;26870;33199;3,1;3,872;0,270;63,7;57,7;3,7;2,4;33,3;11,4;7,3;2,5;2,6;2,1;-15,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
021680501;Vaucrises;02168;Château-Thierry;;10069;13055;17503;0,57;7945;9451;10487;11742;14471;16296;18703;21984;2,8;3,214;0,233;59,1;50,4;7,9;0,8;24,6;2,3;22,8;6,2;9,0;7,5;-8,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
021680601;Gerbrois-St Martin-Le Buisson-Vincelles;02168;Château-Thierry;12,4;16169;21808;28708;0,58;11295;14967;17339;20024;23926;27308;30774;38663;3,4;3,998;0,270;63,8;53,3;2,6;7,9;39,7;9,9;4,4;1,9;1,5;1,0;-17,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
021680701;Blanchard;02168;Château-Thierry;;12667;16801;22521;0,59;9613;11640;13667;15243;19100;21293;23613;28507;3,0;3,443;0,243;66,4;59,1;4,3;3,0;29,3;4,3;12,6;4,9;4,3;3,5;-12,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
021730101;Nord-Ouest;02173;Chauny;36,5;10482;14547;19599;0,63;8226;9796;11436;13041;16173;18497;21237;25712;3,1;3,803;0,267;55,0;48,6;4,4;2,0;33,5;4,6;17,4;4,2;7,8;5,3;-10,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
021730201;Sud-Ouest;02173;Chauny;25,5;12377;17015;23297;0,64;9586;11629;13142;15093;19157;21821;25115;31251;3,3;3,973;0,278;61,9;53,6;3,8;4,6;34,4;8,2;9,2;2,7;3,9;2,6;-13,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
021730301;Nord-Est;02173;Chauny;17,2;14303;19325;25071;0,56;10459;13028;15580;17492;21504;23679;27322;34526;3,3;4,091;0,277;69,7;57,7;3,2;8,8;32,7;7,0;6,8;2,2;2,6;2,0;-16,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080101;Saint-Exupery-Moulin Roux;02408;Laon;48,8;9252;12700;17460;0,65;7630;8733;9903;11277;14028;16036;18993;22442;2,9;3,491;0,251;46,5;39,2;6,4;0,9;32,7;4,4;25,3;4,9;12,3;8,1;-8,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080102;Centre Social;02408;Laon;66,8;8838;10931;13610;0,44;7490;8520;9165;10055;11779;12914;14536;17486;2,3;2,736;0,202;43,3;;;;21,6;1,7;39,4;10,8;16,4;12,2;-6,0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080103;La Fontaine;02408;Laon;45,2;9385;13283;20075;0,80;6988;8753;10025;11654;15768;18572;21852;26835;3,8;4,524;0,297;50,0;;;;37,0;5,3;19,6;5,6;8,4;5,6;-11,9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080201;Cite du Nord;02408;Laon;25,2;12406;16469;22065;0,59;9501;11556;13085;14782;18345;20839;23533;28482;3,0;3,473;0,247;60,0;54,2;3,3;2,5;36,4;5,3;11,1;4,1;4,0;3,0;-12,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080301;Gare Saint-Marcel;02408;Laon;22,1;12941;18630;26137;0,71;9284;11988;14158;16185;21890;24742;28595;36196;3,9;4,720;0,300;60,5;52,3;2,6;5,6;36,9;11,5;8,2;1,7;3,7;2,7;-17,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080401;Individuels;02408;Laon;;15288;21038;29840;0,69;11832;13868;16397;18975;24106;27831;32654;40032;3,4;3,880;0,276;62,3;54,7;2,4;5,2;39,1;10,5;5,6;1,7;2,2;1,7;-17,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080402;Prevert Maraichers;02408;Laon;27,4;12068;15493;19898;0,51;9790;11333;12761;14131;16835;18719;20704;24276;2,5;2,926;0,215;64,2;57,3;5,9;1,0;29,7;3,1;14,7;3,0;6,6;5,2;-11,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080501;Plateau;02408;Laon;26,9;12027;17918;26485;0,81;8479;10729;13116;15539;20926;24531;29326;39040;4,6;6,108;0,353;75,5;62,5;3,8;9,2;23,9;9,3;9,8;2,2;4,2;3,4;-18,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080601;Vaux;02408;Laon;20,3;13212;18241;23909;0,59;9818;12416;14015;15952;20355;22801;25503;30828;3,1;3,839;0,266;64,9;56,8;3,8;4,4;33,4;8,0;8,6;2,7;3,2;2,7;-14,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080801;Montreuil-La Neuville-Marquette;02408;Laon;30,5;11156;16011;21470;0,64;8587;10315;12376;14056;17857;20164;23161;29040;3,4;3,970;0,272;56,0;49,0;3,9;3,1;36,0;6,1;14,5;3,8;6,2;4,5;-12,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024080901;Ardon-Leuilly-Semilly;02408;Laon;;16511;21548;28567;0,56;12586;15324;17393;19299;23767;26377;30502;38476;3,1;3,938;0,277;70,6;62,9;2,1;5,6;32,5;9,5;5,0;1,7;2,0;1,3;-17,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
026910101;centre ville 1;02691;Saint-Quentin;21,3;13468;20700;31294;0,86;9766;11972;15150;18001;24468;29652;34271;49642;5,1;7,012;0,384;75,9;54,8;3,0;18,1;25,1;13,1;6,8;1,9;2,7;2,1;-20,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
