IRIS;LIBIRIS;COM;LIBCOM;DISP_TP6014;DISP_Q114;DISP_MED14;DISP_Q314;DISP_EQ14;DISP_D114;DISP_D214;DISP_D314;DISP_D414;DISP_D614;DISP_D714;DISP_D814;DISP_D914;DISP_RD14;DISP_S80S2014;DISP_GI14;DISP_PTSAC14;DISP_PBEN14;DISP_PPEN14;DISP_PPAT14;DISP_PPSOC14;DISP_PPFAM14;DISP_PPMINI14;DISP_PPLOGT14;DISP_PIMPOT14;note
930570107;Franklin;93057;Les Pavillons-sous-Bois;11,7;17119,5;24250,0;32179,3;0,6;11415,3;15826,0;18562,7;21876,2;27121,3;30336,4;35043,8;40808,1;3,6;4,1;0,3;75,1;4,4;27,1;10,2;3,8;1,7;1,2;0,9;-20,6;0
930570108;President Wilson;93057;Les Pavillons-sous-Bois;16,8;14508,0;21700,9;29479,5;0,7;9663,1;13345,0;15869,3;18726,7;24579,0;27460,0;31497,0;36529,3;3,8;4,5;0,3;76,6;4,2;23,4;9,7;5,1;2,4;1,3;1,4;-19,0;0
930570109;Victor Hugo;93057;Les Pavillons-sous-Bois;22,9;12723,3;19464,0;26636,0;0,7;8748,5;11687,9;13817,9;16628,5;21995,9;25021,1;28361,6;35121,5;4,0;4,9;0,3;79,4;2,2;19,2;8,8;7,2;3,2;2,0;2,1;-16,8;0
930590101;Nord;93059;Pierrefitte-sur-Seine;45,5;9827,3;12753,9;16835,3;0,5;7536,5;9000,8;10468,5;11510,0;14276,3;15976,8;17932,1;21804,0;2,9;3,5;0,2;70,6;1,0;15,5;2,6;20,9;8,4;6,4;6,1;-10,6;0
930590102;Maroc;93059;Pierrefitte-sur-Seine;36,5;10406,1;14456,2;20015,0;0,7;7471,0;9630,1;11150,7;12725,6;16831,4;18656,7;21811,0;26987,2;3,6;4,4;0,3;70,6;2,5;20,9;6,3;13,1;5,5;4,1;3,5;-13,4;0
930590103;Gare;93059;Pierrefitte-sur-Seine;45,2;8395,2;13252,3;19178,7;0,8;5661,9;7452,8;9219,3;11104,8;15669,2;17947,0;21251,5;27278,7;4,8;5,6;0,3;77,2;1,3;20,1;4,5;10,1;3,8;3,3;2,9;-13,2;0
930590104;Potier;93059;Pierrefitte-sur-Seine;30,3;11255,4;15206,8;20569,6;0,6;8044,4;10090,6;12203,8;13705,9;16883,2;19382,5;22590,0;26419,7;3,3;4,0;0,3;77,2;1,3;17,8;6,2;11,7;4,9;3,3;3,5;-14,2;0
930590105;Centre Ville;93059;Pierrefitte-sur-Seine;35,0;10760,7;14965,6;20101,7;0,6;7280,0;9788,2;11450,4;13213,3;16868,5;18997,5;21572,1;26688,8;3,7;4,2;0,3;76,4;1,9;16,6;4,7;13,7;5,5;4,1;4,1;-13,3;0
930590106;Butte Pinson;93059;Pierrefitte-sur-Seine;34,4;10524,2;15006,0;21056,0;0,7;7661,3;9435,4;11505,8;13169,3;16880,0;19652,7;22615,0;27305,0;3,6;4,6;0,3;77,1;3,8;15,9;5,2;12,1;5,4;3,4;3,3;-14,1;1
930590107;Joncherolles Fauvettes;93059;Pierrefitte-sur-Seine;;9336,4;12271,1;16566,9;0,6;6682,1;8510,0;9961,7;11210,0;14020,2;15408,2;17730,5;22384,0;3,3;3,9;0,3;66,0;1,6;18,4;4,1;20,1;6,9;7,3;5,9;-10,2;0
930590108;Sud 1;93059;Pierrefitte-sur-Seine;;11229,3;16384,2;22359,3;0,7;8073,3;10282,3;12318,8;14183,3;18249,0;21065,0;24137,6;30674,3;3,8;4,4;0,3;70,9;2,8;23,4;7,6;10,2;5,2;2,6;2,4;-14,9;0
930590109;Sud 2;93059;Pierrefitte-sur-Seine;35,4;10603,9;14457,5;19994,0;0,6;7778,5;9804,6;11286,0;12836,7;16302,2;18638,4;21589,0;26191,0;3,4;4,0;0,3;73,3;1,3;20,1;5,4;12,8;5,0;4,1;3,6;-12,9;0
930610101;7 Arpents;93061;Le Pré-Saint-Gervais;28,1;11481,0;17918,3;25417,6;0,8;8210,7;10425,2;12821,3;15359,6;20783,5;23620,0;27356,7;33662,2;4,1;5,1;0,3;86,2;4,7;12,4;6,1;6,8;2,8;1,8;2,3;-16,2;0
930610102;Gabriel Peri;93061;Le Pré-Saint-Gervais;29,6;11165,7;17397,7;25266,0;0,8;8282,1;10271,7;12403,3;14922,3;20476,3;23401,0;27888,0;35693,5;4,3;5,2;0,3;81,4;3,3;16,7;7,2;8,5;2,7;3,2;2,7;-17,1;0
930610103;Stalingrad;93061;Le Pré-Saint-Gervais;29,0;11326,7;17330,4;26630,9;0,9;7422,2;10216,0;12576,0;14902,9;20496,5;24574,0;30172,4;39058,3;5,3;6,5;0,4;85,8;7,1;12,2;6,9;6,5;2,3;2,1;2,0;-18,5;0
930610104;Belvedere;93061;Le Pré-Saint-Gervais;18,1;13904,0;20584,5;28945,6;0,7;9504,8;12848,5;15167,0;17871,1;22989,6;27155,0;31439,0;39036,7;4,1;5,0;0,3;78,0;2,9;23,0;9,5;5,6;2,3;1,6;1,7;-19,0;0
930610105;Severine;93061;Le Pré-Saint-Gervais;27,6;11024,0;16672,0;24152,7;0,8;7564,7;9873,1;12854,5;14947,4;18969,3;22194,4;25673,0;32452,7;4,3;5,1;0,3;70,1;2,3;26,5;5,5;10,5;2,6;4,6;3,3;-14,9;0
930610106;Centre;93061;Le Pré-Saint-Gervais;22,0;12780,4;17966,3;25270,0;0,7;9381,0;11828,8;13693,3;15968,3;20119,5;23252,7;27273,5;33817,0;3,6;4,3;0,3;80,0;3,9;18,5;6,3;7,8;3,0;2,4;2,4;-16,5;0
930610107;Anatole France;93061;Le Pré-Saint-Gervais;17,9;14683,0;22187,8;31760,4;0,8;10208,5;12799,3;16130,0;18808,0;25511,0;29240,0;34611,5;41470,5;4,1;5,0;0,3;83,0;4,8;19,3;7,9;4,6;1,9;1,3;1,3;-19,6;0
930620101;Valere Lefebvre;93062;Le Raincy;;19237,3;27723,5;38832,0;0,7;12478,4;17058,7;21172,0;25013,3;31033,0;36026,0;43006,2;54742,0;4,4;5,0;0,3;73,4;6,0;27,1;16,0;2,5;1,2;0,6;0,6;-25,0;0
930620102;Thiers;93062;Le Raincy;11,4;19099,0;28299,5;40250,0;0,7;11436,8;17171,0;21175,8;24618,3;32063,3;37204,3;43766,7;60074,7;5,3;6,9;0,4;70,2;14,6;23,7;15,6;2,5;1,3;0,6;0,6;-26,6;0
930620103;Nicolas Carnot;93062;Le Raincy;12,7;16630,5;26365,3;37011,0;0,8;10837,5;15232,1;18538,1;22233,3;29615,2;34072,5;40954,2;51585,0;4,8;6,4;0,4;71,0;8,4;23,2;22,1;2,7;1,3;0,7;0,7;-27,4;0
930620104;Chatrian;93062;Le Raincy;9,3;18590,3;27078,2;39422,7;0,8;12627,0;16673,0;20242,5;24182,7;31654,0;36255,0;43152,9;57156,8;4,5;6,2;0,4;71,1;12,4;24,1;16,2;2,2;1,2;0,5;0,6;-26,0;0
930620105;Thiellement;93062;Le Raincy;;16885,2;24094,0;32862,9;0,7;10554,6;15040,0;18367,5;21454,3;27350,0;30990,0;34992,7;45625,0;4,3;5,4;0,3;73,6;8,6;24,1;13,4;3,6;1,8;0,9;0,9;-23,3;0
930620106;Herold;93062;Le Raincy;10,4;18167,2;26295,0;37762,5;0,7;12096,0;16731,0;19843,3;23404,8;30091,0;35340,7;40752,0;53071,7;4,4;5,3;0,3;72,8;9,5;23,5;15,7;3,4;1,7;1,0;0,8;-24,9;0
930630102;Zac;93063;Romainville;;9969,4;14105,0;18660,8;0,6;7595,0;9222,1;10882,0;12215,3;15496,7;17234,3;20376,0;25873,6;3,4;3,9;0,3;75,8;1,2;14,6;2,6;16,9;5,1;6,0;5,8;-11,1;0
930630103;Parcs;93063;Romainville;14,0;15723,3;22591,7;31547,3;0,7;10668,8;13947,3;17171,3;20055,0;25888,0;28716,5;34184,0;42901,0;4,0;5,0;0,3;76,1;6,0;21,1;13,5;3,8;2,0;1,1;0,8;-20,5;0
930630104;Cite;93063;Romainville;;11628,2;16223,1;21859,0;0,6;8606,7;10565,2;12481,3;14140,8;17908,1;20327,3;23365,0;28011,0;3,3;3,7;0,3;67,5;1,3;27,3;4,7;12,6;4,7;4,1;3,8;-13,4;0
930630105;Centre;93063;Romainville;19,4;14004,8;20827,3;29651,3;0,8;9138,5;12354,5;15304,7;18074,7;24043,3;27968,1;32322,3;39625,0;4,3;5,2;0,3;84,7;4,5;14,5;9,3;5,3;2,4;1,5;1,4;-18,3;0
930630106;Carnot;93063;Romainville;;10127,1;13858,7;19565,7;0,7;7435,4;9434,0;11149,4;12674,0;15702,0;17956,7;21009,2;24481,3;3,3;3,8;0,3;64,2;1,1;24,8;3,6;17,3;4,9;6,8;5,5;-11,0;0
930630107;Cachin;93063;Romainville;19,2;13780,5;21068,5;27780,4;0,7;9151,3;12512,0;15456,8;18324,1;23856,7;26590,6;30381,3;36760,7;4,0;4,7;0,3;83,6;5,3;16,0;7,4;5,7;2,4;1,7;1,6;-18,0;0
930630108;Grands Champs 01;93063;Romainville;22,7;13042,9;18315,4;25797,0;0,7;8998,5;11754,0;14199,5;16172,9;20835,7;24165,2;27644,4;32872,0;3,7;4,2;0,3;78,1;3,5;20,9;5,8;7,2;3,0;2,4;1,8;-15,5;0
930630109;Grands Champs 01;93063;Romainville;44,6;8315,7;13504,4;20719,7;0,9;5514,4;7058,5;9229,3;10907,5;15992,9;18766,0;22775,3;28203,9;5,1;6,2;0,3;74,1;2,5;20,8;6,4;9,7;3,3;3,7;2,7;-13,5;0
930630110;3 Communes;93063;Romainville;28,4;11402,4;15906,0;21046,7;0,6;8198,2;10368,3;12452,3;14337,8;18023,0;19983,9;22632,7;26748,4;3,3;3,8;0,2;77,4;1,7;17,8;3,5;12,2;4,6;3,9;3,7;-12,6;0
930630111;Ormes;93063;Romainville;24,1;12316,0;19371,0;26387,0;0,7;7620,0;11423,0;13306,8;16142,7;21704,0;24314,2;28441,2;33376,8;4,4;4,9;0,3;78,5;2,9;20,2;8,3;6,5;2,8;2,3;1,4;-16,4;0
930640102;Bois Perrier 1;93064;Rosny-sous-Bois;28,0;11663,2;15708,6;21307,2;0,6;8117,3;10730,6;12471,3;14072,5;17894,8;20113,3;22698,0;27716,0;3,4;3,8;0,3;74,4;0,9;23,5;4,0;10,5;4,6;2,9;3,0;-13,3;0
930640103;Bois Perrier 2;93064;Rosny-sous-Bois;26,7;11967,6;15792,8;20612,5;0,5;9035,8;11077,6;12605,0;14214,2;17575,0;19576,7;22312,8;26810,3;3,0;3,5;0,2;72,8;0,8;25,0;3,6;10,8;4,3;2,9;3,6;-13,0;0
930640104;Marnaudes;93064;Rosny-sous-Bois;21,8;12798,0;17785,6;23316,0;0,6;9584,7;11921,4;13735,0;15656,0;19612,6;21873,5;24712,6;30112,9;3,1;3,7;0,3;74,9;1,5;24,5;3,9;9,3;3,9;2,5;3,0;-14,1;0
930640105;Changis;93064;Rosny-sous-Bois;10,7;17578,0;23683,8;31722,7;0,6;11739,0;15891,3;19050,8;21361,0;27222,2;30050,7;34198,0;41747,3;3,6;4,2;0,3;74,4;6,2;26,1;9,9;3,5;1,9;0,9;0,7;-20,1;0
930640106;Avron Beausejour;93064;Rosny-sous-Bois;21,8;13624,7;23262,2;31145,0;0,8;8223,9;11762,0;15796,7;19648,7;26231,8;29117,6;34237,6;42283,3;5,1;6,0;0,3;81,8;4,3;20,1;8,0;5,4;1,9;2,1;1,4;-19,6;0
930640107;Pre Gentil 1;93064;Rosny-sous-Bois;15,7;14922,6;21898,3;31212,0;0,7;10323,5;13594,4;16247,3;19235,6;24996,0;28733,5;33709,6;41317,3;4,0;4,8;0,3;79,7;3,7;21,9;8,5;5,7;2,7;1,6;1,5;-19,5;0
930640108;Justice 1;93064;Rosny-sous-Bois;11,5;17361,0;24256,7;31687,1;0,6;10996,7;15680,0;18719,0;21267,2;26895,3;29828,0;33543,3;39922,0;3,6;4,2;0,3;78,4;2,3;27,1;9,2;3,2;1,6;0,8;0,8;-20,2;0
