CODGEO;LIBGEO;NBMEN14;NBPERS14;NBUC14;Q114;Q214;Q314;Q3_Q1;D114;D214;D314;D414;D614;D714;D814;D914;RD;S80S2014;GI14;PTSAC14;PBEN14;PPEN14;PPAT14;PPSOC14;PPFAM14;PPMINI14;PPLOGT14;PIMPOT14
30004;Aigues-Vives;1248;3044;2030,1;15903,9;21312,5;27883,3;11979,4;11589,3;14859,0;17096,1;19077,6;23686,5;25982,0;30153,0;36665,3;3,2;3,8;0,3;68,1;7,9;28,3;8,0;4,1;2,2;0,9;1,0;-16,4
30005;Aiguèze;93;187;135,3;;18932,8;;;;;;;;;;;;;;;;;;;;;;
30006;Aimargues;2107;5395;3527,1;14465,7;19157,9;24553,3;10087,6;10608,3;13385,7;15497,0;17144,8;21122,6;23228,1;26428,1;31425,7;3,0;3,7;0,3;70,3;4,2;23,5;10,4;6,5;3,0;1,8;1,6;-14,9
30007;Alès;19602;39059;28197,2;11412,0;15893,8;21637,3;10225,3;8441,7;10420,0;12392,7;14107,7;17911,3;20213,0;23402,0;29094,0;3,4;4,2;0,3;48,2;4,6;39,9;9,1;11,8;2,7;5,2;3,9;-13,6
30008;Allègre-les-Fumades;383;860;594,8;;17660,0;;;;;;;;;;;;;;;;;;;;;;
30009;Alzon;95;178;132,3;;15110,0;;;;;;;;;;;;;;;;;;;;;;
30010;Anduze;1600;3138;2284,6;12206,5;17194,0;23927,2;11720,7;8655,0;11007,6;13026,4;15138,0;19228,0;22105,0;25410,0;32488,0;3,8;4,9;0,3;47,2;5,2;41,2;12,8;9,0;2,0;3,9;3,0;-15,4
30011;Les Angles;4108;8532;6115,1;16751,2;22754,3;31443,3;14692,1;12323,8;15571,0;18112,0;20398,0;25624,7;29370,7;34333,3;42725,3;3,5;4,4;0,3;58,8;7,9;36,0;13,6;3,0;1,2;0,9;0,9;-19,3
30012;Aramon;1733;4140;2798,9;14511,3;20270,8;26945,3;12434,0;10839,0;13438,7;15758,5;18073,8;22729,1;25512,8;29070,3;35956,0;3,3;3,9;0,3;67,8;5,4;28,5;9,2;5,2;2,2;1,4;1,5;-16,1
30013;Argilliers;160;438;280,2;;20134,3;;;;;;;;;;;;;;;;;;;;;;
