CODGEO;LIBGEO;NBMEN16;NBPERS16;NBUC16;Q116;Q216;Q316;Q3_Q1;D116;D216;D316;D416;D616;D716;D816;D916;RD;S80S2016;GI16;PACT16;PTSA16;PCHO16;PBEN16;PPEN16;PPAT16;PPSOC16;PPFAM16;PPMINI16;PPLOGT16;PIMPOT16
35309;Saint-Rémy-du-Plain;311;819;526,7;;19096;;;;;;;;;;;;;;;;;;;;;;;;
35310;Saint-Sauveur-des-Landes;502;1358;863,7;;20864;;;;;;;;;;;;;;;;;;;;;;;;
35311;Saint-Séglin;233;547;365,7;;17940;;;;;;;;;;;;;;;;;;;;;;;;
35312;Saint-Senoux;707;1905;1216,6;;21201;;;;;;;;;;;;;;;;;;;;;;;;
35314;Saint-Suliac;433;997;688,1;;23663;;;;;;;;;;;;;;;;;;;;;;;;
35315;Saint-Sulpice-la-Forêt;518;1417;915,6;;25978;;;;;;;;;;;;;;;;;;;;;;;;
35316;Saint-Sulpice-des-Landes;331;810;538,4;;17534;;;;;;;;;;;;;;;;;;;;;;;;
35317;Saint-Symphorien;210;565;363,6;;21310;;;;;;;;;;;;;;;;;;;;;;;;
35318;Saint-Thual;317;884;555,4;;20141;;;;;;;;;;;;;;;;;;;;;;;;
35319;Saint-Thurial;813;2143;1385,5;17980;21726;26301;8321;14072;17123;18824;20467;23364;25201;27510;31746;2,3;2,609;0,187;85,1;77,8;3,0;4,2;18,6;5,5;4,3;2,7;1,0;0,6;-13,5
35320;Saint-Uniac;196;543;344,1;;20516;;;;;;;;;;;;;;;;;;;;;;;;
35321;Saulnières;296;749;490,8;;19073;;;;;;;;;;;;;;;;;;;;;;;;
35322;Le Sel-de-Bretagne;348;1022;627,4;;19467;;;;;;;;;;;;;;;;;;;;;;;;
35324;La Selle-en-Luitré;205;598;374,7;;20292;;;;;;;;;;;;;;;;;;;;;;;;
35325;La Selle-Guerchaise;58;171;107,1;;18431;;;;;;;;;;;;;;;;;;;;;;;;
35326;Sens-de-Bretagne;918;2429;1557,1;16374;20599;24545;8172;13253;15432;17431;19186;21934;23667;25876;30345;2,3;2,674;0,194;78,1;69,6;2,4;6,1;21,9;7,5;5,5;3,4;1,1;1,0;-13,0
35327;Servon-sur-Vilaine;1418;3728;2430,3;18927;23198;28336;9409;15063;18077;19890;21597;25152;27078;29906;34723;2,3;2,630;0,190;83,1;77,3;2,6;3,3;21,1;7,6;3,6;2,3;0,7;0,6;-15,4
35328;Sixt-sur-Aff;903;2113;1436,1;14883;19164;23634;8751;12014;14040;15728;17376;20561;22433;24878;28653;2,4;2,738;0,200;66,8;59,1;3,3;4,4;31,0;8,6;6,2;3,0;1,9;1,3;-12,6
35329;Sougéal;249;546;379,9;;18759;;;;;;;;;;;;;;;;;;;;;;;;
35330;Taillis;369;1012;648,3;;19558;;;;;;;;;;;;;;;;;;;;;;;;
35331;Talensac;971;2522;1656,6;18031;21766;26611;8580;14550;17152;18841;20451;23353;25298;28175;32243;2,2;2,610;0,191;79,0;71,3;3,0;4,6;24,8;6,9;3,8;2,4;0,8;0,6;-14,5
35332;Teillay;435;1067;703,1;;18175;;;;;;;;;;;;;;;;;;;;;;;;
35333;Le Theil-de-Bretagne;627;1683;1081,1;;20337;;;;;;;;;;;;;;;;;;;;;;;;
35334;Thorigné-Fouillard;3297;8445;5546,4;19474;25324;32688;13214;14757;18030;20676;22899;28282;30969;34900;42459;2,9;3,470;0,248;83,5;77,0;2,2;4,2;24,1;8,3;3,6;1,8;1,0;0,8;-19,5
35335;Thourie;290;779;500,4;;18831;;;;;;;;;;;;;;;;;;;;;;;;
35336;Le Tiercent;89;197;136,2;;20010;;;;;;;;;;;;;;;;;;;;;;;;
35337;Tinténiac;1446;3525;2341,6;16232;21008;25788;9556;12385;15225;17481;19223;22774;24736;27527;31453;2,5;3,033;0,216;75,1;67,9;2,5;4,7;24,9;7,7;6,4;3,0;2,0;1,3;-14,1
35338;Torcé;439;1221;776,4;;20259;;;;;;;;;;;;;;;;;;;;;;;;
35339;Trans-la-Forêt;254;581;396,8;;18454;;;;;;;;;;;;;;;;;;;;;;;;
35340;Treffendel;459;1251;797,3;;20492;;;;;;;;;;;;;;;;;;;;;;;;
