codgeo;libgeo;an;p_licsport014_f
200065928;CA Lannion-Trégor Communauté;2018;38,80
200066009;CA Mulhouse Alsace Agglomération;2018;41,40
200066017;CC Lieuvin Pays d'Auge;2018;41,50
200066025;CC Pays Rhin - Brisach;2018;45,20
200066033;CC Sud Alsace Largue;2018;41,30
200066041;CC Sundgau;2018;40,20
200066058;CA Saint-Louis Agglomération;2018;41,70
200066108;CC des Portes de Meuse;2018;44,10
200066116;CC Argonne-Meuse;2018;43,40
200066124;CA Gaillac-Graulhet;2018;40,90
200066132;CC du Pays de Stenay et du Val Dunois;2018;45,20
200066140;CC de l'Aire à l'Argonne;2018;44,60
200066157;CC de Commercy - Void - Vaucouleurs;2018;42,20
200066165;CC Val de Meuse - Voie Sacrée;2018;44,30
200066173;CC de Damvillers Spincourt;2018;44,20
200066223;CC Arize Lèze;2018;45,70
200066231;CC des Portes d'Ariège Pyrénées;2018;41,60
200066280;CC du Pithiverais;2018;40,70
200066322;CC Terres des Confluences;2018;40,00
200066330;CC Terres du Haut Berry;2018;41,70
200066348;CC du Minervois au Caroux;2018;40,20
