codgeo;libgeo;an;p_licsport014_f
02025;Artemps;2018;30,80
02027;Assis-sur-Serre;2018;30,00
02028;Athies-sous-Laon;2018;46,50
02029;Attilly;2018;26,10
02030;Aubencheul-aux-Bois;2018;53,30
02031;Aubenton;2018;36,80
02032;Aubigny-aux-Kaisnes;2018;42,90
02033;Aubigny-en-Laonnois;2018;33,30
02034;Audignicourt;2018;20,00
02035;Audigny;2018;36,80
02036;Augy;2018;100,00
02037;Aulnois-sous-Laon;2018;28,80
02038;Les Autels;2018;60,00
02039;Autremencourt;2018;66,70
02040;Autreppes;2018;33,30
02041;Autreville;2018;41,50
02042;Azy-sur-Marne;2018;21,40
02043;Bagneux;2018;
02044;Bancigny;2018;
02046;Barenton-Bugny;2018;22,40
02047;Barenton-Cel;2018;50,00
02048;Barenton-sur-Serre;2018;37,50
02049;Barisis-aux-Bois;2018;43,40
02050;Barzy-en-Thiérache;2018;57,10
02051;Barzy-sur-Marne;2018;36,40
02052;Bassoles-Aulers;2018;20,00
02053;Vallées en Champagne;2018;51,60
02054;Bazoches-sur-Vesles;2018;57,10
02055;Beaumé;2018;100,00
02056;Beaumont-en-Beine;2018;60,00
02057;Beaurevoir;2018;41,70
02058;Beaurieux;2018;28,20
02059;Beautor;2018;45,60
02060;Beauvois-en-Vermandois;2018;50,00
02061;Becquigny;2018;7,70
02062;Belleau;2018;40,00
02063;Bellenglise;2018;38,90
02064;Belleu;2018;41,70
02065;Bellicourt;2018;33,30
02066;Benay;2018;61,50
02067;Bergues-sur-Sambre;2018;38,50
02068;Berlancourt;2018;58,30
02069;Berlise;2018;0,00
02070;Bernot;2018;30,00
02071;Berny-Rivière;2018;61,00
02072;Berrieux;2018;61,10
02073;Berry-au-Bac;2018;10,00
02074;Bertaucourt-Epourdon;2018;74,60
02075;Berthenicourt;2018;26,70
02076;Bertricourt;2018;15,40
02077;Berzy-le-Sec;2018;34,40
02078;Besmé;2018;33,30
02079;Besmont;2018;50,00
02080;Besny-et-Loizy;2018;50,00
02081;Béthancourt-en-Vaux;2018;44,70
02082;Beugneux;2018;16,70
02083;Beuvardes;2018;32,50
02084;Bézu-le-Guéry;2018;22,70
02085;Bézu-Saint-Germain;2018;48,60
02086;Bichancourt;2018;44,10
02087;Bieuxy;2018;50,00
02088;Bièvres;2018;33,30
02089;Billy-sur-Aisne;2018;30,30
02090;Billy-sur-Ourcq;2018;42,10
02091;Blanzy-lès-Fismes;2018;14,30
02093;Blérancourt;2018;47,90
02094;Blesmes;2018;50,00
02095;Bohain-en-Vermandois;2018;25,10
02096;Bois-lès-Pargny;2018;38,50
02097;Boncourt;2018;56,20
02098;Bonneil;2018;52,00
02099;Bonnesvalyn;2018;58,80
02100;Bony;2018;12,50
02101;Bosmont-sur-Serre;2018;50,00
02102;Bouconville-Vauclair;2018;35,70
02103;Boué;2018;41,30
02104;Bouffignereux;2018;40,00
02105;Bouresches;2018;30,80
02106;Bourg-et-Comin;2018;35,70
02107;Bourguignon-sous-Coucy;2018;40,00
02108;Bourguignon-sous-Montbavin;2018;31,60
02109;La Bouteille;2018;36,40
02110;Braine;2018;43,30
02111;Brancourt-en-Laonnois;2018;34,00
02112;Brancourt-le-Grand;2018;50,00
02114;Brasles;2018;29,00
02115;Braye-en-Laonnois;2018;60,00
02116;Braye-en-Thiérache;2018;42,90
02117;Bray-Saint-Christophe;2018;
02118;Braye;2018;12,50
02119;Brécy;2018;33,30
02120;Brenelle;2018;30,80
02121;Breny;2018;45,50
02122;Brie;2018;100,00
02123;Brissay-Choigny;2018;22,20
02124;Brissy-Hamégicourt;2018;22,20
02125;Brumetz;2018;33,30
02126;Brunehamel;2018;39,30
02127;Bruyères-sur-Fère;2018;10,00
02128;Bruyères-et-Montbérault;2018;44,90
02129;Bruys;2018;100,00
02130;Bucilly;2018;33,30
02131;Bucy-le-Long;2018;33,30
02132;Bucy-lès-Cerny;2018;42,90
02133;Bucy-lès-Pierrepont;2018;35,50
02134;Buire;2018;36,40
02135;Buironfosse;2018;34,00
02136;Burelles;2018;40,00
02137;Bussiares;2018;66,70
02138;Buzancy;2018;35,70
02139;Caillouël-Crépigny;2018;44,80
02140;Camelin;2018;60,00
02141;La Capelle;2018;40,70
02142;Castres;2018;41,70
02143;Le Catelet;2018;25,00
02144;Caulaincourt;2018;30,80
02145;Caumont;2018;24,20
02146;Celles-lès-Condé;2018;0,00
02148;Celles-sur-Aisne;2018;38,50
02149;Cerizy;2018;25,00
02150;Cerny-en-Laonnois;2018;50,00
02151;Cerny-lès-Bucy;2018;50,00
02152;Cerseuil;2018;0,00
02153;Cessières-Suzy;2018;31,80
02154;Chacrise;2018;25,00
02155;Chaillevois;2018;25,00
02156;Chalandry;2018;25,00
02157;Chambry;2018;40,00
02158;Chamouille;2018;45,60
02159;Champs;2018;33,30
02160;Chaourse;2018;41,20
02162;La Chapelle-sur-Chézy;2018;9,50
02163;Charly-sur-Marne;2018;40,60
02164;Le Charmel;2018;36,40
02165;Charmes;2018;58,20
02166;Chartèves;2018;32,00
02167;Chassemy;2018;37,70
02168;Château-Thierry;2018;39,40
02169;Châtillon-lès-Sons;2018;66,70
02170;Châtillon-sur-Oise;2018;71,40
02171;Chaudardes;2018;30,00
02172;Chaudun;2018;63,20
02173;Chauny;2018;43,80
02174;Chavignon;2018;18,30
02175;Chavigny;2018;0,00
02176;Chavonne;2018;53,80
02177;Chérêt;2018;33,30
02178;Chermizy-Ailles;2018;40,00
02179;Chéry-Chartreuve;2018;20,00
02180;Chéry-lès-Pouilly;2018;25,00
02181;Chéry-lès-Rozoy;2018;50,00
02182;Chevennes;2018;0,00
02183;Chevregny;2018;42,10
02184;Chevresis-Monceau;2018;22,20
02185;Chézy-en-Orxois;2018;52,00
02186;Chézy-sur-Marne;2018;38,50
02187;Chierry;2018;32,80
02188;Chigny;2018;
02189;Chivres-en-Laonnois;2018;28,60
02190;Chivres-Val;2018;37,20
02191;Chivy-lès-Étouvelles;2018;50,00
02192;Chouy;2018;20,00
02193;Cierges;2018;0,00
02194;Cilly;2018;11,10
02195;Ciry-Salsogne;2018;31,60
02196;Clacy-et-Thierret;2018;40,00
02197;Clairfontaine;2018;30,00
02198;Clamecy;2018;52,40
02199;Clastres;2018;30,00
02200;Clermont-les-Fermes;2018;50,00
02201;Cœuvres-et-Valsery;2018;48,60
02203;Coincy;2018;47,50
02204;Coingt;2018;100,00
02205;Colligis-Crandelain;2018;25,00
02206;Colonfay;2018;0,00
02207;Commenchon;2018;38,50
02208;Concevreux;2018;66,70
02209;Condé-en-Brie;2018;33,10
02210;Condé-sur-Aisne;2018;35,00
02211;Condé-sur-Suippe;2018;46,90
02212;Condren;2018;52,80
02213;Connigis;2018;25,00
02214;Contescourt;2018;0,00
02215;Corbeny;2018;53,70
02216;Corcy;2018;61,10
02217;Coucy-le-Château-Auffrique;2018;37,80
02218;Coucy-lès-Eppes;2018;55,10
02219;Coucy-la-Ville;2018;45,00
02220;Coulonges-Cohan;2018;38,10
02221;Coupru;2018;41,70
02222;Courbes;2018;0,00
02223;Courboin;2018;27,30
02224;Courcelles-sur-Vesle;2018;45,50
02225;Courchamps;2018;0,00
02226;Courmelles;2018;40,60
02227;Courmont;2018;0,00
02228;Courtemont-Varennes;2018;18,20
02229;Courtrizy-et-Fussigny;2018;
02230;Couvrelles;2018;43,80
02231;Couvron-et-Aumencourt;2018;25,00
02232;Coyolles;2018;57,10
02233;Cramaille;2018;28,60
02234;Craonne;2018;100,00
02235;Craonnelle;2018;40,00
02236;Crécy-au-Mont;2018;43,80
02237;Crécy-sur-Serre;2018;37,70
02238;Crépy;2018;30,20
02239;Crézancy;2018;37,10
02240;Croix-Fonsomme;2018;25,00
02241;La Croix-sur-Ourcq;2018;50,00
02242;Crouttes-sur-Marne;2018;20,00
02243;Crouy;2018;36,30
02244;Crupilly;2018;28,60
02245;Cuffies;2018;43,00
02246;Cugny;2018;55,20
02248;Cuirieux;2018;14,30
02249;Cuiry-Housse;2018;16,70
02250;Cuiry-lès-Chaudardes;2018;62,50
02251;Cuiry-lès-Iviers;2018;0,00
02252;Cuissy-et-Geny;2018;0,00
02253;Cuisy-en-Almont;2018;30,00
02254;Cutry;2018;12,50
02255;Cys-la-Commune;2018;28,60
02256;Dagny-Lambercy;2018;71,40
02257;Dallon;2018;45,20
02258;Dammard;2018;44,40
02259;Dampleux;2018;25,30
02260;Danizy;2018;50,00
02261;Dercy;2018;52,60
02262;Deuillet;2018;71,40
02263;Dhuizel;2018;25,00
02264;Dizy-le-Gros;2018;40,00
02265;Dohis;2018;100,00
02266;Dolignon;2018;66,70
02267;Dommiers;2018;45,80
02268;Domptin;2018;48,20
02269;Dorengt;2018;33,30
02270;Douchy;2018;9,10
02271;Dravegny;2018;60,00
02272;Droizy;2018;0,00
02273;Dury;2018;57,10
02274;Ébouleau;2018;35,70
02275;Effry;2018;28,60
02276;Englancourt;2018;50,00
02277;Épagny;2018;42,90
02278;Éparcy;2018;
02279;Épaux-Bézu;2018;30,00
02280;Épieds;2018;34,80
02281;L'Épine-aux-Bois;2018;40,00
02282;Eppes;2018;55,60
02283;Erlon;2018;37,50
02284;Erloy;2018;66,70
02286;Esquéhéries;2018;15,40
02287;Essigny-le-Grand;2018;34,80
02288;Essigny-le-Petit;2018;47,40
02289;Essises;2018;23,10
02290;Essômes-sur-Marne;2018;39,60
02291;Estrées;2018;20,00
02292;Étampes-sur-Marne;2018;35,40
02293;Étaves-et-Bocquiaux;2018;25,70
02294;Étouvelles;2018;56,20
02295;Étréaupont;2018;43,90
02296;Étreillers;2018;50,20
02297;Étrépilly;2018;55,60
02298;Étreux;2018;29,10
02299;Évergnicourt;2018;44,10
02302;Faverolles;2018;50,00
02303;Fayet;2018;26,10
02304;La Fère;2018;41,90
02305;Fère-en-Tardenois;2018;47,40
02306;La Ferté-Chevresis;2018;30,00
02307;La Ferté-Milon;2018;35,30
02308;Fesmy-le-Sart;2018;56,70
02309;Festieux;2018;43,40
02310;Fieulaine;2018;30,00
02311;Filain;2018;87,50
02312;La Flamengrie;2018;21,00
02313;Flavigny-le-Grand-et-Beaurain;2018;20,00
02315;Flavy-le-Martel;2018;42,30
02316;Fleury;2018;50,00
02317;Fluquières;2018;22,20
02318;Folembray;2018;42,90
02319;Fonsomme;2018;36,80
02320;Fontaine-lès-Clercs;2018;20,00
02321;Fontaine-lès-Vervins;2018;48,90
02322;Fontaine-Notre-Dame;2018;52,60
02323;Fontaine-Uterte;2018;9,10
02324;Fontenelle;2018;20,00
02326;Fontenoy;2018;41,70
02327;Foreste;2018;28,60
02328;Fossoy;2018;41,70
02329;Fourdrain;2018;54,10
02330;Francilly-Selency;2018;26,30
02331;Franqueville;2018;33,30
02332;Fresnes-en-Tardenois;2018;42,90
02333;Fresnes-sous-Coucy;2018;25,00
02334;Fresnoy-le-Grand;2018;36,70
02335;Fressancourt;2018;28,60
02336;Frières-Faillouël;2018;52,20
02337;Froidestrées;2018;25,00
02338;Froidmont-Cohartille;2018;23,10
02339;Gandelu;2018;44,00
02340;Gauchy;2018;30,40
02341;Gercy;2018;50,00
02342;Gergny;2018;42,90
02343;Germaine;2018;50,00
02345;Gibercourt;2018;0,00
02346;Gizy;2018;41,90
02347;Gland;2018;41,20
02349;Goudelancourt-lès-Berrieux;2018;100,00
02350;Goudelancourt-lès-Pierrepont;2018;33,30
02351;Goussancourt;2018;40,00
02352;Gouy;2018;26,30
02353;Grandlup-et-Fay;2018;27,30
